file	W	H	mode	total_tiles_possible	valid_tiles	num_batches	t_decode_compute_ms	t_tile_compute_ms	t_decode_wait_ms	t_pre_ms	t_submit_ms	t_sync_wait_ms	t_total_ms	tile_per_s	img_per_s	avg_ms_per_tile_total	pre_ms_per_tile	note
test42.tif	2048	1536	fast_grid	54	54	1	91.478	3.012	0.019	132.025	32.814	30.283	195.478	276.246	5.115675	3.619956	2.444903	
test43.tif	2048	1536	fast_grid	54	54	1	89.721	3.261	0.020	124.699	32.896	30.012	187.960	287.296	5.320289	3.480735	2.309241	
test44.tif	2048	1536	fast_grid	54	54	1	93.907	3.304	0.019	132.552	32.776	30.380	196.036	275.459	5.101095	3.630302	2.454658	
test45.tif	2048	1536	fast_grid	54	54	1	94.521	2.909	0.020	127.004	32.805	30.217	190.333	283.713	5.253936	3.524694	2.351926	
test46.tif	2048	1536	fast_grid	54	54	1	93.499	2.999	0.020	132.001	32.771	30.273	196.472	274.848	5.089779	3.638374	2.444456	
test47.tif	2048	1536	fast_grid	54	54	1	90.272	3.045	0.029	120.509	32.785	30.376	184.053	293.393	5.433210	3.408394	2.231649	
test48.tif	2048	1536	fast_grid	54	54	1	89.882	3.226	0.022	132.296	37.510	25.487	195.615	276.052	5.112072	3.622507	2.449932	
test49.tif	2048	1536	fast_grid	54	54	1	92.230	3.292	0.027	126.168	33.006	30.293	189.853	284.430	5.267230	3.515798	2.336452	
test4.tif	2048	1536	fast_grid	54	54	1	93.492	2.897	0.019	124.087	32.817	30.071	187.298	288.311	5.339093	3.468477	2.297901	
test50.tif	2048	1536	fast_grid	54	54	1	94.716	2.986	0.018	124.554	32.564	30.216	188.792	286.030	5.296848	3.496139	2.306556	
test51.tif	2048	1536	fast_grid	54	54	1	94.739	3.038	0.025	127.034	32.577	30.424	190.393	283.624	5.252290	3.525799	2.352485	
test52.tif	2048	1536	fast_grid	54	54	1	90.172	3.216	0.020	127.933	33.218	29.834	191.368	282.178	5.225528	3.543856	2.369126	
test53.tif	2048	1536	fast_grid	54	54	1	93.904	3.312	0.020	128.017	33.045	30.034	191.434	282.081	5.223728	3.545077	2.370681	
test54.tif	2048	1536	fast_grid	54	54	1	93.301	2.895	0.020	129.083	35.585	27.902	192.932	279.891	5.183163	3.572822	2.390423	
test55.tif	2048	1536	fast_grid	54	54	1	95.799	2.997	0.019	143.444	32.821	30.190	207.992	259.626	4.807881	3.851700	2.656366	
test56.tif	2048	1536	fast_grid	54	54	1	92.957	3.042	0.020	124.939	31.901	31.023	188.225	286.891	5.312800	3.485642	2.313678	
test57.tif	2048	1536	fast_grid	54	54	1	91.937	3.250	0.017	121.343	32.097	30.845	184.645	292.453	5.415805	3.419347	2.247099	
test58.tif	2048	1536	fast_grid	54	54	1	98.952	3.291	0.020	125.620	32.537	30.464	189.023	285.680	5.290371	3.500420	2.326290	
test59.tif	2048	1536	fast_grid	54	54	1	96.611	2.942	0.020	121.018	32.553	30.517	184.497	292.687	5.420135	3.416616	2.241076	
test5.tif	2048	1536	fast_grid	54	54	1	92.779	3.053	0.021	121.839	32.364	30.596	186.392	289.713	5.365048	3.451696	2.256277	
test60.tif	2048	1536	fast_grid	54	54	1	92.382	3.231	0.020	205.129	32.036	31.100	268.632	201.018	3.722563	4.974669	3.798684	
test61.tif	2048	1536	fast_grid	54	54	1	98.664	4.005	0.016	120.640	35.008	28.030	183.982	293.507	5.435315	3.407074	2.234081	
test62.tif	2048	1536	fast_grid	54	54	1	92.218	3.307	0.017	125.973	31.885	31.242	189.432	285.062	5.278929	3.508007	2.332828	
test63.tif	2048	1536	fast_grid	54	54	1	93.949	2.979	0.017	120.495	32.196	30.823	183.905	293.630	5.437598	3.405643	2.231389	
test64.tif	2048	1536	fast_grid	54	54	1	101.585	2.955	0.023	206.999	32.264	30.766	271.645	198.789	3.681281	5.030455	3.833317	
test65.tif	2048	1536	fast_grid	54	54	1	93.068	3.046	0.033	211.234	34.225	29.445	275.521	195.992	3.629482	5.102248	3.911738	
test66.tif	2048	1536	fast_grid	54	54	1	92.044	3.279	0.041	120.097	32.527	30.506	183.579	294.151	5.447247	3.399611	2.224020	
test67.tif	2048	1536	fast_grid	54	54	1	90.764	3.320	0.060	124.123	33.668	29.750	187.951	287.310	5.320547	3.480567	2.298578	
test68.tif	2048	1536	fast_grid	54	54	1	92.937	2.802	0.052	121.557	32.747	30.407	185.104	291.729	5.402382	3.427843	2.251047	
test69.tif	2048	1536	fast_grid	54	54	1	91.010	2.949	0.076	129.259	33.326	29.921	194.027	278.311	5.153909	3.593102	2.393680	
