cpu_workers	prefetch	bs	decode_workers	pre_workers	tiles_total	num_images	total_time_s	overall_tile_s	steady_tile_s	overall_img_s	steady_img_s	cold_first_ms	mean_decode_compute_ms	mean_tile_compute_ms	mean_decode_wait_ms	mean_pre_ms	mean_submit_ms	mean_sync_wait_ms	mean_total_ms	out_tsv	summary_json
4	2	96	1	3	5400	100	26.382758	204.679130	276.094030	3.790354	5.112852	6976.089	105.280	3.448	7.612	132.839	33.297	31.612	263.391	logs/sweep_v2_bs96/w4_pf2_bs96_tile224_s224_fp16.tsv	logs/sweep_v2_bs96/w4_pf2_bs96_tile224_s224_fp16.json
8	3	96	2	6	5400	100	25.994884	207.733184	267.443972	3.846911	4.952666	5953.763	78.356	3.266	8.679	138.969	35.856	29.942	259.430	logs/sweep_v2_bs96/w8_pf3_bs96_tile224_s224_fp16.tsv	logs/sweep_v2_bs96/w8_pf3_bs96_tile224_s224_fp16.json
12	4	96	3	9	5400	100	26.834489	201.233568	254.028876	3.726548	4.704238	5763.751	83.007	3.002	11.445	150.201	34.926	30.648	268.086	logs/sweep_v2_bs96/w12_pf4_bs96_tile224_s224_fp16.tsv	logs/sweep_v2_bs96/w12_pf4_bs96_tile224_s224_fp16.json
16	4	96	4	12	5400	100	28.074090	192.348179	247.239214	3.562003	4.578504	6284.031	114.099	3.018	14.950	152.681	36.466	32.096	279.068	logs/sweep_v2_bs96/w16_pf4_bs96_tile224_s224_fp16.tsv	logs/sweep_v2_bs96/w16_pf4_bs96_tile224_s224_fp16.json
20	4	96	4	16	5400	100	27.821049	194.097641	251.818105	3.594401	4.663298	6520.832	116.580	3.194	10.472	150.624	36.146	31.962	277.504	logs/sweep_v2_bs96/w20_pf4_bs96_tile224_s224_fp16.tsv	logs/sweep_v2_bs96/w20_pf4_bs96_tile224_s224_fp16.json
