file	W	H	mode	total_tiles_possible	valid_tiles	num_batches	t_decode_compute_ms	t_tile_compute_ms	t_decode_wait_ms	t_pre_ms	t_submit_ms	t_sync_wait_ms	t_total_ms	tile_per_s	img_per_s	avg_ms_per_tile_total	pre_ms_per_tile	note
test0.tif	2048	1536	fast_grid	54	54	1	1465.843	3.332	1468.720	201.677	63.490	251.377	6007.844	8.988	0.166449	111.256363	3.734768	warmup_sync_ms=4021.88
test10.tif	2048	1536	fast_grid	54	54	1	1458.936	3.145	0.026	135.409	34.538	28.360	198.880	271.521	5.028160	3.682961	2.507575	
test11.tif	2048	1536	fast_grid	54	54	1	565.045	8.259	0.018	123.561	34.256	28.673	186.803	289.074	5.353228	3.459318	2.288157	
test12.tif	2048	1536	fast_grid	54	54	1	585.731	6.791	0.020	129.944	33.485	29.376	193.183	279.527	5.176434	3.577466	2.406367	
test13.tif	2048	1536	fast_grid	54	54	1	472.392	5.705	0.021	140.312	32.857	30.216	203.826	264.932	4.906154	3.774549	2.598369	
test14.tif	2048	1536	fast_grid	54	54	1	53.563	3.209	0.018	137.169	32.898	29.976	200.408	269.450	4.989814	3.711264	2.540165	
test15.tif	2048	1536	fast_grid	54	54	1	50.706	3.250	0.016	119.794	33.660	29.224	182.968	295.134	5.465450	3.388288	2.218411	
test16.tif	2048	1536	fast_grid	54	54	1	52.668	3.920	0.018	119.981	33.768	29.186	183.320	294.567	5.454939	3.394817	2.221868	
test17.tif	2048	1536	fast_grid	54	54	1	54.505	2.894	0.020	121.700	34.130	28.937	185.078	291.769	5.403121	3.427374	2.253700	
test18.tif	2048	1536	fast_grid	54	54	1	53.216	3.577	0.021	120.621	33.803	29.188	184.027	293.435	5.433974	3.407914	2.233727	
test19.tif	2048	1536	fast_grid	54	54	1	51.948	3.368	0.021	133.612	35.852	27.206	197.105	273.965	5.073434	3.650096	2.474287	
test1.tif	2048	1536	fast_grid	54	54	1	52.874	3.542	0.048	126.662	34.187	29.835	191.302	282.277	5.227349	3.542622	2.345587	
test20.tif	2048	1536	fast_grid	54	54	1	54.091	3.242	0.021	126.148	33.874	30.057	190.524	283.429	5.248684	3.528221	2.336068	
test21.tif	2048	1536	fast_grid	54	54	1	53.472	3.940	0.023	120.939	33.680	29.991	185.911	290.461	5.378915	3.442798	2.239606	
test22.tif	2048	1536	fast_grid	54	54	1	51.153	2.906	0.020	126.509	33.378	30.706	193.856	278.557	5.158457	3.589934	2.342755	
test23.tif	2048	1536	fast_grid	54	54	1	52.762	3.559	0.021	130.420	32.747	30.260	193.867	278.541	5.158163	3.590138	2.415180	
test24.tif	2048	1536	fast_grid	54	54	1	51.970	3.390	0.021	128.117	32.911	30.089	191.573	281.877	5.219942	3.547648	2.372534	
