file	W	H	mode	total_tiles_possible	valid_tiles	num_batches	t_decode_compute_ms	t_tile_compute_ms	t_decode_wait_ms	t_pre_ms	t_submit_ms	t_sync_wait_ms	t_total_ms	tile_per_s	img_per_s	avg_ms_per_tile_total	pre_ms_per_tile	note
test0.tif	2048	1536	fast_grid	54	54	1	1020.543	4.836	1025.643	512.458	76.030	240.581	5795.370	9.318	0.172552	107.321676	9.489954	warmup_sync_ms=3939.64
test10.tif	2048	1536	fast_grid	54	54	1	1002.666	6.564	0.027	140.439	34.583	28.845	204.532	264.018	4.889220	3.787622	2.600717	
test11.tif	2048	1536	fast_grid	54	54	1	978.762	3.222	0.018	132.718	34.202	29.003	196.372	274.989	5.092381	3.636515	2.457737	
test12.tif	2048	1536	fast_grid	54	54	1	1035.409	6.229	0.019	144.058	34.548	28.690	207.738	259.943	4.813761	3.846996	2.667744	
test13.tif	2048	1536	fast_grid	54	54	1	857.997	2.847	0.018	145.051	34.178	28.786	208.478	259.020	4.796676	3.860699	2.686137	
test14.tif	2048	1536	fast_grid	54	54	1	55.457	2.826	0.020	142.263	35.059	28.031	205.807	262.382	4.858919	3.811243	2.634498	
test15.tif	2048	1536	fast_grid	54	54	1	50.477	2.773	0.018	139.192	34.610	28.545	202.815	266.253	4.930610	3.755827	2.577622	
test16.tif	2048	1536	fast_grid	54	54	1	55.434	3.116	0.018	136.818	34.745	28.455	200.443	269.404	4.988954	3.711904	2.533669	
test17.tif	2048	1536	fast_grid	54	54	1	54.578	3.436	0.019	129.808	34.537	28.675	193.477	279.103	5.168566	3.582913	2.403860	
test18.tif	2048	1536	fast_grid	54	54	1	47.629	2.796	0.019	129.723	34.516	28.648	194.781	277.235	5.133973	3.607054	2.402277	
test19.tif	2048	1536	fast_grid	54	54	1	52.292	3.455	0.020	133.585	34.562	28.766	197.347	273.629	5.067209	3.654579	2.473801	
test1.tif	2048	1536	fast_grid	54	54	1	49.198	2.793	0.019	141.756	37.083	26.242	205.562	262.695	4.864716	3.806701	2.625114	
test20.tif	2048	1536	fast_grid	54	54	1	51.770	3.534	0.020	141.868	34.738	28.376	205.472	262.809	4.866840	3.805040	2.627180	
test21.tif	2048	1536	fast_grid	54	54	1	47.259	2.969	0.020	136.681	34.862	28.320	200.320	269.569	4.992022	3.709623	2.531126	
test22.tif	2048	1536	fast_grid	54	54	1	46.352	2.794	0.020	140.164	34.682	28.650	205.461	262.823	4.867092	3.804842	2.595623	
test23.tif	2048	1536	fast_grid	54	54	1	51.300	3.338	0.018	137.276	34.569	28.566	200.858	268.846	4.978634	3.719598	2.542147	
test24.tif	2048	1536	fast_grid	54	54	1	53.645	3.435	0.020	141.431	34.636	28.461	204.995	263.421	4.878165	3.796206	2.619096	
test25.tif	2048	1536	fast_grid	54	54	1	46.749	2.743	0.019	130.806	35.510	27.830	194.578	277.524	5.139327	3.603296	2.422338	
test26.tif	2048	1536	fast_grid	54	54	1	52.124	3.444	0.019	134.531	34.636	28.686	198.313	272.297	5.042540	3.672459	2.491315	
test27.tif	2048	1536	fast_grid	54	54	1	46.972	2.819	0.018	131.891	34.325	28.694	195.334	276.450	5.119440	3.617294	2.442429	
test28.tif	2048	1536	fast_grid	54	54	1	51.906	3.490	0.017	128.504	34.435	28.881	192.262	280.867	5.201247	3.560400	2.379706	
test29.tif	2048	1536	fast_grid	54	54	1	47.320	2.956	0.019	135.806	34.555	28.635	199.505	270.670	5.012404	3.694539	2.514934	
test2.tif	2048	1536	fast_grid	54	54	1	46.752	2.836	0.018	140.991	34.806	28.292	204.516	264.038	4.889596	3.787331	2.610952	
test30.tif	2048	1536	fast_grid	54	54	1	51.199	3.315	0.018	133.711	34.267	28.819	198.774	271.665	5.030828	3.681008	2.476135	
test31.tif	2048	1536	fast_grid	54	54	1	52.133	3.420	0.019	133.409	34.291	28.866	197.032	274.067	5.075316	3.648742	2.470544	
test32.tif	2048	1536	fast_grid	54	54	1	46.852	2.764	0.018	143.030	34.422	28.907	206.829	261.085	4.834914	3.830165	2.648712	
test33.tif	2048	1536	fast_grid	54	54	1	51.913	3.408	0.018	132.401	34.416	28.733	195.995	275.517	5.102164	3.629542	2.451873	
test34.tif	2048	1536	fast_grid	54	54	1	46.846	2.807	0.019	139.198	34.566	28.723	202.909	266.129	4.928322	3.757571	2.577738	
test35.tif	2048	1536	fast_grid	54	54	1	52.449	3.509	0.020	135.234	34.737	28.523	199.122	271.191	5.022058	3.687437	2.504329	
test36.tif	2048	1536	fast_grid	54	54	1	47.392	2.979	0.029	138.997	35.486	30.456	205.506	262.766	4.866039	3.805666	2.574010	
test37.tif	2048	1536	fast_grid	54	54	1	46.958	2.763	0.043	139.656	34.438	28.750	203.333	265.574	4.918046	3.765422	2.586229	
test38.tif	2048	1536	fast_grid	54	54	1	51.294	3.410	0.026	128.363	34.407	28.669	193.535	279.019	5.167020	3.583985	2.377100	
test39.tif	2048	1536	fast_grid	54	54	1	52.509	5.564	0.030	135.531	34.597	28.692	199.375	270.847	5.015681	3.692125	2.509831	
test3.tif	2048	1536	fast_grid	54	54	1	47.203	2.779	0.019	142.616	35.905	27.503	206.532	261.460	4.841855	3.824674	2.641028	
test40.tif	2048	1536	fast_grid	54	54	1	51.971	3.477	0.021	131.566	34.428	28.727	195.203	276.635	5.122870	3.614872	2.436403	
test41.tif	2048	1536	fast_grid	54	54	1	47.042	2.803	0.027	136.201	34.449	28.775	199.870	270.176	5.003252	3.701296	2.522234	
test42.tif	2048	1536	fast_grid	54	54	1	51.851	3.530	0.017	143.632	34.382	28.813	207.286	260.509	4.824241	3.838639	2.659843	
test43.tif	2048	1536	fast_grid	54	54	1	47.552	2.991	0.020	135.115	40.319	23.816	199.695	270.413	5.007644	3.698050	2.502125	
test44.tif	2048	1536	fast_grid	54	54	1	47.244	2.788	0.020	140.470	34.616	28.627	204.154	264.506	4.898256	3.780635	2.601289	
test45.tif	2048	1536	fast_grid	54	54	1	51.023	3.368	0.018	125.930	34.499	28.709	191.225	282.390	5.229442	3.541203	2.332030	
test46.tif	2048	1536	fast_grid	54	54	1	51.983	3.426	0.021	143.715	34.593	28.702	207.500	260.241	4.819273	3.842596	2.661386	
test47.tif	2048	1536	fast_grid	54	54	1	46.914	2.774	0.019	145.587	34.520	28.706	212.214	254.461	4.712233	3.929882	2.696055	
test48.tif	2048	1536	fast_grid	54	54	1	51.515	3.417	0.020	132.926	34.189	28.992	196.545	274.746	5.087895	3.639721	2.461586	
