cpu_workers	prefetch	bs	decode_workers	pre_workers	tiles_total	num_images	total_time_s	overall_tile_s	steady_tile_s	overall_img_s	steady_img_s	cold_first_ms	mean_decode_compute_ms	mean_tile_compute_ms	mean_decode_wait_ms	mean_pre_ms	mean_submit_ms	mean_sync_wait_ms	mean_total_ms	out_tsv	summary_json
4	2	96	1	3	5400	100	29.300367	184.298031	241.188417	3.412926	4.466452	7060.397	106.810	3.221	7.938	160.817	33.265	31.919	292.256	logs/sweep_v2_bs96/w4_pf2_bs96_tile224_s224_fp16.tsv	logs/sweep_v2_bs96/w4_pf2_bs96_tile224_s224_fp16.json
8	3	96	2	6	5400	100	25.845060	208.937417	265.540495	3.869211	4.917417	5660.922	91.157	2.951	9.607	143.837	33.004	32.542	257.934	logs/sweep_v2_bs96/w8_pf3_bs96_tile224_s224_fp16.tsv	logs/sweep_v2_bs96/w8_pf3_bs96_tile224_s224_fp16.json
12	4	96	3	9	5400	100	28.404579	190.110193	254.944395	3.520559	4.721193	7396.648	120.990	3.061	8.703	148.401	34.291	31.178	283.659	logs/sweep_v2_bs96/w12_pf4_bs96_tile224_s224_fp16.tsv	logs/sweep_v2_bs96/w12_pf4_bs96_tile224_s224_fp16.json
16	4	96	4	12	5400	100	25.722089	209.936290	270.181613	3.887709	5.003363	5873.847	87.479	3.293	11.196	137.692	33.558	32.065	256.605	logs/sweep_v2_bs96/w16_pf4_bs96_tile224_s224_fp16.tsv	logs/sweep_v2_bs96/w16_pf4_bs96_tile224_s224_fp16.json
20	4	96	4	16	5400	100	25.970614	207.927314	268.384003	3.850506	4.970074	5948.631	112.334	3.830	15.100	138.283	33.751	31.529	258.679	logs/sweep_v2_bs96/w20_pf4_bs96_tile224_s224_fp16.tsv	logs/sweep_v2_bs96/w20_pf4_bs96_tile224_s224_fp16.json
