file	W	H	mode	total_tiles_possible	valid_tiles	num_batches	t_decode_compute_ms	t_tile_compute_ms	t_decode_wait_ms	t_pre_ms	t_submit_ms	t_sync_wait_ms	t_total_ms	tile_per_s	img_per_s	avg_ms_per_tile_total	pre_ms_per_tile	note
test0.tif	2048	1536	fast_grid	54	54	1	861.798	9.480	871.332	677.764	70.905	251.018	5933.737	9.101	0.168528	109.884021	12.551177	warmup_sync_ms=4061.81
test10.tif	2048	1536	fast_grid	54	54	1	870.061	3.107	0.027	134.476	32.665	30.102	197.861	272.918	5.054042	3.664100	2.490289	
test11.tif	2048	1536	fast_grid	54	54	1	1065.544	3.018	0.020	146.797	32.462	30.244	210.002	257.141	4.761867	3.888920	2.718461	
test12.tif	2048	1536	fast_grid	54	54	1	968.238	4.464	0.020	143.112	32.141	30.506	206.139	261.959	4.851088	3.817395	2.650220	
test13.tif	2048	1536	fast_grid	54	54	1	964.722	3.638	0.021	138.953	31.722	30.899	202.004	267.321	4.950386	3.740823	2.573198	
test14.tif	2048	1536	fast_grid	54	54	1	81.200	3.065	0.020	132.266	31.776	30.943	195.371	276.397	5.118462	3.617985	2.449375	
test15.tif	2048	1536	fast_grid	54	54	1	76.262	3.149	0.020	139.684	31.959	30.752	202.823	266.242	4.930407	3.755982	2.586749	
test16.tif	2048	1536	fast_grid	54	54	1	40.330	2.955	0.021	136.920	31.880	30.793	199.982	270.024	5.000440	3.703377	2.535563	
test17.tif	2048	1536	fast_grid	54	54	1	38.575	2.917	0.022	126.029	32.224	30.611	189.297	285.266	5.282705	3.505500	2.333873	
test18.tif	2048	1536	fast_grid	54	54	1	38.873	2.823	0.020	130.734	32.599	30.146	194.756	277.270	5.134630	3.606593	2.421008	
test19.tif	2048	1536	fast_grid	54	54	1	38.520	3.011	0.021	204.692	32.522	30.498	268.175	201.361	3.728907	4.966205	3.790595	
test1.tif	2048	1536	fast_grid	54	54	1	39.511	2.895	0.020	211.108	32.522	30.378	274.478	196.737	3.643277	5.082929	3.909416	
test20.tif	2048	1536	fast_grid	54	54	1	37.127	2.856	0.023	132.081	33.029	29.725	195.356	276.418	5.118847	3.617713	2.445937	
test21.tif	2048	1536	fast_grid	54	54	1	39.889	3.152	0.032	132.255	32.770	30.440	195.936	275.601	5.103718	3.628437	2.449171	
test22.tif	2048	1536	fast_grid	54	54	1	39.820	2.918	0.028	131.232	32.104	30.932	195.613	276.055	5.112130	3.622466	2.430223	
test23.tif	2048	1536	fast_grid	54	54	1	37.663	2.839	0.033	132.072	32.286	30.619	195.359	276.414	5.118776	3.617763	2.445782	
test24.tif	2048	1536	fast_grid	54	54	1	41.429	3.048	0.027	139.977	32.144	30.678	203.331	265.577	4.918091	3.765388	2.592158	
test25.tif	2048	1536	fast_grid	54	54	1	40.128	2.789	0.017	129.511	33.007	29.992	192.868	279.984	5.184893	3.571630	2.398349	
test26.tif	2048	1536	fast_grid	54	54	1	41.231	3.009	0.017	134.973	32.528	30.418	199.350	270.881	5.016308	3.691663	2.499494	
test27.tif	2048	1536	fast_grid	54	54	1	39.208	3.118	0.021	180.305	32.160	30.748	243.645	221.634	4.104327	4.511950	3.338979	
test28.tif	2048	1536	fast_grid	54	54	1	37.231	2.673	0.019	191.064	32.179	30.318	253.975	212.619	3.937392	4.703245	3.538225	
test29.tif	2048	1536	fast_grid	54	54	1	38.112	2.806	0.018	144.127	31.874	30.657	207.041	260.818	4.829956	3.834097	2.669018	
test2.tif	2048	1536	fast_grid	54	54	1	43.204	2.912	0.018	132.448	37.878	26.398	197.081	273.999	5.074058	3.649647	2.452735	
test30.tif	2048	1536	fast_grid	54	54	1	39.352	2.800	0.018	152.144	32.628	30.247	215.394	250.703	4.642648	3.988784	2.817489	
test31.tif	2048	1536	fast_grid	54	54	1	41.228	2.917	0.020	141.823	32.180	30.237	204.620	263.904	4.887116	3.789253	2.626350	
test32.tif	2048	1536	fast_grid	54	54	1	39.560	3.087	0.019	132.595	33.285	29.532	197.144	273.912	5.072437	3.650813	2.455467	
test33.tif	2048	1536	fast_grid	54	54	1	41.559	3.191	0.018	137.782	33.134	29.540	200.797	268.928	4.980148	3.718467	2.551521	
test34.tif	2048	1536	fast_grid	54	54	1	39.853	2.903	0.019	132.268	33.285	29.549	196.244	275.168	5.095700	3.634146	2.449413	
test35.tif	2048	1536	fast_grid	54	54	1	40.850	2.902	0.019	140.358	32.927	29.885	203.561	265.276	4.912521	3.769657	2.599230	
test36.tif	2048	1536	fast_grid	54	54	1	39.684	2.829	0.018	132.264	32.816	30.092	195.534	276.167	5.114199	3.621001	2.449336	
test37.tif	2048	1536	fast_grid	54	54	1	45.350	3.592	0.018	128.323	32.651	30.161	191.447	282.062	5.223374	3.545317	2.376357	
test38.tif	2048	1536	fast_grid	54	54	1	44.375	3.411	0.017	129.524	32.319	30.437	192.571	280.416	5.192886	3.566132	2.398595	
test39.tif	2048	1536	fast_grid	54	54	1	44.948	3.294	0.016	133.780	32.126	30.638	196.839	274.336	5.080305	3.645159	2.477409	
test3.tif	2048	1536	fast_grid	54	54	1	40.175	3.057	0.016	128.033	31.837	30.861	191.001	282.721	5.235580	3.537052	2.370985	
test40.tif	2048	1536	fast_grid	54	54	1	44.373	3.165	0.015	131.101	31.843	30.897	194.115	278.185	5.151577	3.594728	2.427801	
test41.tif	2048	1536	fast_grid	54	54	1	42.079	3.055	0.017	122.410	31.767	31.023	185.477	291.141	5.391496	3.434765	2.266853	
